Description,Designator,Footprint,K3 No.,Value,Quantity
"RES,GEN,10R,5%,62.5mW,0603","R13","RESC-0603","1.1.1.01.01.307","10R","1"
"RES,GEN,2K,1%,100mW,0603","R14","RESC-0603","1.1.1.01.01.159-GJ-jingmi","2K","1"
"RES MF 47K  1/16W 1% AEC-Q200 0402","R16","RESC-0402","1.1.1.01.01.314","1%","1"
"RES,GEN,56K,1%,62.5mW,0603","R18, R40, R51, R56, R57, R66, R83, R85, R90, R92, R96, R99","RESC-0603","1.1.1.01.01.294","56K","12"
"RES MF 100 OHM 1/2W 1% 1206","R19","RESC-1206","1.1.1.01.01.033GJ","100R","1"
"RES,GEN,0R,5%,62.5mW,0402","R20, R22, R33, R41, R75, R76, R84, R89, R114, R128, R130, R131, R137, R138, R139, R294","RESC-0402","1.1.1.01.01.309","0R, DNP","16"
"RES MF 10K 1/16W 5% 0402, RES,GEN,10K,5%,62.5mW,0402, 通用厚膜电阻,10K,+/-5%,R0402,1/16W.","R23, R113, R124, R2112, R2119","RESC-0402","1.1.1.01.01.290, [NoParam]","10K_5%, 10K, [NoParam]","5"
"RES,GEN,1K,5%,62.5mW,0402","R24, R42, R47, R71, R86, R88, R122, R125, R132","RESC-0402","1.1.1.01.01.321, 1.1.1.01.01.532","1K, 1.3K","9"
"RES,GEN,1.5K,5%,62.5mW,0402","R25","RESC-0402","1.1.1.01.01.319","1.5K","1"
"RES,GEN,0R,5%,100mW,0603","R26, R27, R49, R53","RESC-0603","1.1.1.01.01.269","0R","4"
"RES,GEN,200K,1%,62.5mW,0402, RES,GEN,200kΩ,1%,62.5mW,0402","R28, R43, R118","RESC-0402","1.1.1.01.01.498","200K, 200KΩ","3"
"RES,GEN,100K,5%,62.5mW,0402","R29, R30, R44, R103, R129","RESC-0402","1.1.1.01.01.313","100K","5"
"RES,GEN,3.92kΩ,1%,100mW,0603","R31","RESC-0603","1.1.1.01.01.469","3.92KΩ","1"
"RES,GEN,73.2K,1%,100mW,0603","R32","RESC-0603","1.1.1.01.01.255","73.2K","1"
"RES,GEN,200R,1%,250mW,1206","R34, R35","RESC-1206","1.1.1.01.01.036-GJ","200R","2"
"RES,GEN,2.2kΩ,1%,62.5mW,0402","R36, R37, R38, R39, R67, R68, R81, R82, R116, R117","RESC-0402","1.1.1.01.01.432","2.2KΩ","10"
"RES,GEN,2K,1%,100mW,0603","R45","RESC-0603","1.1.1.01.01.159-GJ-jingmi","2K","1"
"RES,GEN,10K,5%,62.5mW,0402","R46, R72, R104, R107, R109, R110, R112, R123","RESC-0402","1.1.1.01.01.290, 1.1.1.01.01.320","10K, 12K","8"
